activity,title,description,description_language,sector_code,sector_narrative,AGROVOC_narrative,AGROVOC_code,AGROVOC_link,AGROVOC_provenance,AGROVOC_provenance_resource
46002-P-ZM-AA0-024,Zambia -  Cashew infrastructure development project,"The development objective is to contribute to economic growth and food security. The Project objective is to contribute to the country's poverty reduction and improved household incomes through improved cashew production, processing and marketing. Enhanced household incomes will lead to improved household food security. The Project will (i) increase cashew tree productivity and production, (ii) contribute to improved household income and food security, (iii) increase foreign exchange earnings from cashew products, and (iii) improve rural employment for men, women and youths.",en,31110,Agriculture,cashews,c_9647,http://oek1.fao.org/skosmos/agrovoc/en/page/c_9647,description,
46002-P-ZM-AA0-024,,,,,,food security,c_10967,http://oek1.fao.org/skosmos/agrovoc/en/page/c_10967,description,
46002-P-ZM-AA0-024,,,,,,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-ZM-AAE-001,Zambia - Livestock Infrastructure Support Project,"The overall sector goal is to contribute to economic growth and food security. The specific Project objectives are to improve smallholder livestock production, productivity, market linkages and income of livestock farmers.",en,31163,Livestock,livestock,c_4397,http://oek1.fao.org/skosmos/agrovoc/en/page/c_4397,description,
46002-P-ZM-AAE-001,,,,,,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-ZM-AAE-001,,,,,,livestock production,c_331557,http://oek1.fao.org/skosmos/agrovoc/en/page/c_331557,description,
46002-P-UG-AAD-001,Uganda - Farm Income Enhancement and Forestry Conservation Programme - Project 2,"The project objective is to improve household incomes, food security, and climate resilience through sustainable natural resources management and agricultural enterprise development",en,31220,Forestry / Plantations,irrigation,c_3954,http://oek1.fao.org/skosmos/agrovoc/en/page/c_3954,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/FIEFOC_ESMP_Summary_final_2015.pdf
46002-P-UG-AAD-001,,,,,,soil management,c_7176,http://oek1.fao.org/skosmos/agrovoc/en/page/c_7176,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/FIEFOC_ESMP_Summary_final_2015.pdf
46002-P-UG-AAD-001,,,,,,forest conservation,c_1374158672853,http://oek1.fao.org/skosmos/agrovoc/en/page/c_1374158672853,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/FIEFOC_ESMP_Summary_final_2015.pdf
46002-P-BW-AAC-001,Botswana - The Pandamatenga Agricultural Infrastructure Development Project,"The specific objective is to increase cereal production of the 25,000 ha arable farms from the current level of 0.5 to 2.5 metric tonnes per ha for the traditional farmers; and 2 to 3.5 metric tonnes per ha for the large scale farmers",en,31140,Irrigation And Drainage,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,activity website,http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-bw-aac-001/
46002-P-BW-AAC-001,,,,,,drainage systems,c_25331,http://oek1.fao.org/skosmos/agrovoc/en/page/c_25331,activity website,http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-bw-aac-001/
46002-P-BW-AAC-001,,,,,,cereals,c_1474,http://oek1.fao.org/skosmos/agrovoc/en/page/c_1474,activity website,http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-bw-aac-001/
46002-P-GH-AAD-002,Ghana - Engaging Local Communities in REDD+ / Enhancement of Carbon Stocks Project,None,N/A,31220,Forestry / Plantations,community forestry,c_16532,http://oek1.fao.org/skosmos/agrovoc/en/page/c_16532,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/Ghana_-_Managing_Local_Communities_in_REDD__-_Enhancement_of_Carbon_Stocks_Project_-_ESMP_Summary.pdf
46002-P-GH-AAD-002,,,,,,wildfire,c_34150,http://oek1.fao.org/skosmos/agrovoc/en/page/c_34150,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/Ghana_-_Managing_Local_Communities_in_REDD__-_Enhancement_of_Carbon_Stocks_Project_-_ESMP_Summary.pdf
46002-P-GH-AAD-002,,,,,,shade trees,c_25548,http://oek1.fao.org/skosmos/agrovoc/en/page/c_25548,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/Ghana_-_Managing_Local_Communities_in_REDD__-_Enhancement_of_Carbon_Stocks_Project_-_ESMP_Summary.pdf
46002-P-GH-AAD-002,,,,,,cocoa industry,c_1713,http://oek1.fao.org/skosmos/agrovoc/en/page/c_1713,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/Ghana_-_Managing_Local_Communities_in_REDD__-_Enhancement_of_Carbon_Stocks_Project_-_ESMP_Summary.pdf
46002-P-TN-AAC-009,Tunisia - The Water Sector Investment Project - Phase II (PISEAU II),",,Dans une optique d'apport d'un appui financier aux budgets annuels d'investissements du Minist�re de l'Agriculture pour les ann�es 2001-2006 et d'une am�lioration de l'impact �conomique des d�penses publiques par la r�alisation d'actions cl�s d'accompagnement, le programme PISEAU vise � augmenter les revenus du secteur rural par le d�veloppement de l'infrastructure et une meilleure utilisation des ressources et a assurer une gestion durable des ressources en eau par : - la gestion de la demande � travers une plus grande participation des usagers - la gestion int�gr�e des ressources en eau (eaux souterraines et eaux de surface) - la pr�servation de la ressource et la protection de l'environnement. Plus sp�cifiquement, le PISEAU vise � : (a) promouvoir la gestion int�gr�e des ressources en eau par (i) l'�tablissement et l'application d'un cadre institutionnel et la mise en #uvre de r�formes sectorielles en vue d'adopter une strat�gie de gestion de la demande (�volution de la politique tarifaire, nouvelles dispositions institutionnelles) ; (ii) l'am�lioration de la capacit� des groupements d'int�r�ts collectifs (GIC) et des op�rateurs du secteur priv� � g�rer les ressources de mani�re efficace, et (iii) une meilleure gestion en temps r�el des eaux superficielles et souterraines (sources traditionnelles et non traditionnelles) ; et (b) promouvoir la conservation des ressources en eau et la protection de l'environnement..",fr,31140,Irrigation And Drainage,food security,c_10967,http://oek1.fao.org/skosmos/agrovoc/en/page/c_10967,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/B%C3%A9nin_-_Projet_d%E2%80%99Appui_aux_Infrastructures_Agricoles_dans_la_Vall%C3%A9e_de_l%E2%80%99Ou%C3%A9m%C3%A9__PAIA-VO__-_R%C3%A9sum%C3%A9_PGES.pdf
46002-P-TN-AAC-009,,,,,,capacity building,c_37836,http://oek1.fao.org/skosmos/agrovoc/en/page/c_37836,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/B%C3%A9nin_-_Projet_d%E2%80%99Appui_aux_Infrastructures_Agricoles_dans_la_Vall%C3%A9e_de_l%E2%80%99Ou%C3%A9m%C3%A9__PAIA-VO__-_R%C3%A9sum%C3%A9_PGES.pdf
46002-P-TN-AAC-009,,,,,,off season cultivation,c_24935,http://oek1.fao.org/skosmos/agrovoc/en/page/c_24935,appraisal report,http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/B%C3%A9nin_-_Projet_d%E2%80%99Appui_aux_Infrastructures_Agricoles_dans_la_Vall%C3%A9e_de_l%E2%80%99Ou%C3%A9m%C3%A9__PAIA-VO__-_R%C3%A9sum%C3%A9_PGES.pdf
46002-P-MG-AAB-003,Madagascar - Lower Mangoky Area Extension Project,L'objectif du projet est de contribuer � la r�duction de la pauvret� en milieu rural � Madagascar. L'objectif sp�cifique du Projet de R�habilitation et d'Extension du P�rim�tre de Bas Mangoky - Phase II (PREPBM II) est l'augmentation de la production agricole � travers le d�veloppement des infrastructures d'irrigation collectives et le renforcement des organisations des producteurs.,fr,31161,Food Crops,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-MG-AAB-003,,,,,,drainage systems,c_25331,http://oek1.fao.org/skosmos/agrovoc/en/page/c_25331,description,
46002-P-MG-AAB-003,,,,,,irrigation,c_3954,http://oek1.fao.org/skosmos/agrovoc/en/page/c_3954,description,
46002-P-MG-AAB-004,Madagascar - South-West Region Agricultural Infrastructure Rehabilitation Project (PRIASO),"L'objectif du Projet est de contribuer � la r�duction de la pauvret� et de l'ins�curit� alimentaire. Le PRIASO est align� sur le premier pilier (Infrastructures Rurales) du  DSP  (2012-2013). Il va �galement contribuer au pilier N�2 (Gouvernance) par des actions relatives au renforcement de la gouvernance locale (s�curisation fonci�re des agriculteurs, et contribution � la mise en #uvre des plans communaux de d�veloppement). Le projet est par ailleurs en conformit� avec la Strat�gie de la Banque (2013-2022) ainsi qu'avec la strat�gie de la Banque pour le secteur de l'agriculture (2010-2014), dont le premier pilier concerne l'am�lioration des infrastructures rurales.",fr,31161,Food Crops,food security,c_10967,http://oek1.fao.org/skosmos/agrovoc/en/page/c_10967,description,
46002-P-MG-AAB-004,,,,,,rural poverty,c_15517,http://oek1.fao.org/skosmos/agrovoc/en/page/c_15517,description,
46002-P-MG-AAB-004,,,,,,infrastructure,c_26790,http://oek1.fao.org/skosmos/agrovoc/en/page/c_26790,description,
46002-P-ML-AAE-004,Projet d'appui au développement des productions animales en zone de Kayes Sud (PADEPA-KS),"L'objectif sp�cifique du projet est de contribuer � l'augmentation, de fa�on durable, des productions animales et des revenus des agro-�leveurs de la zone de Kayes-sud.",fr,31163,Livestock,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-ML-AAE-004,,,,,,livestock,c_4397,http://oek1.fao.org/skosmos/agrovoc/en/page/c_4397,description,
46002-P-ML-AAE-004,,,,,,income generation,c_9000080,http://oek1.fao.org/skosmos/agrovoc/en/page/c_9000080,description,
46002-P-BJ-AA0-005,Benin - Ou�m� Valley Agricultural Infrastructure Support Project,L'objectif sp�cifique est de contribuer � l'accroissement durable de la productivit� et des productions agricoles par la promotion des fili�res porteuses dans la vall�e de l'Ou�m�..,fr,31110,Agriculture,production possibilities,c_6207,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6207,description,
46002-P-BJ-AA0-005,,,,,,capacity building,c_37836,http://oek1.fao.org/skosmos/agrovoc/en/page/c_37836,description,
46002-P-BJ-AA0-005,,,,,,supply chain,c_9fbe9719,http://oek1.fao.org/skosmos/agrovoc/en/page/c_9fbe9719,description,
46002-P-BJ-AA0-005,,,,,,productivity,c_6210,http://oek1.fao.org/skosmos/agrovoc/en/page/c_6210,description,